Município,codigo_ibge,Índice de Isolamento (%),Dia da Semana,Data
Matão,3529302,39,quarta-feira ,2021-02-03
Vargem Grande Paulista,3556453,42,quarta-feira ,2021-02-03
Embu-Guaçu,3515103,43,quarta-feira ,2021-02-03
Itapeva,3522406,35,quarta-feira ,2021-02-03
Taquaritinga,3553708,51,quarta-feira ,2021-02-03
Presidente Prudente,3541406,34,quarta-feira ,2021-02-03
Franco Da Rocha,3516408,40,quarta-feira ,2021-02-03
Ourinhos,3534708,38,quarta-feira ,2021-02-03
Piedade,3537800,46,quarta-feira ,2021-02-03
São Caetano Do Sul,3548807,36,quarta-feira ,2021-02-03
Cajamar,3509205,35,quarta-feira ,2021-02-03
Itapevi,3522505,37,quarta-feira ,2021-02-03
Paulínia,3536505,33,quarta-feira ,2021-02-03
Barretos,3505500,34,quarta-feira ,2021-02-03
Botucatu,3507506,39,quarta-feira ,2021-02-03
Arujá,3503901,34,quarta-feira ,2021-02-03
Itapira,3522604,39,quarta-feira ,2021-02-03
Francisco Morato,3516309,43,quarta-feira ,2021-02-03
Campos Do Jordão,3509700,41,quarta-feira ,2021-02-03
Itanhaém,3522109,44,quarta-feira ,2021-02-03
Itapetininga,3522307,39,quarta-feira ,2021-02-03
Mauá,3529401,36,quarta-feira ,2021-02-03
Andradina,3502101,40,quarta-feira ,2021-02-03
Praia Grande,3541000,43,quarta-feira ,2021-02-03
Suzano,3552502,36,quarta-feira ,2021-02-03
Atibaia,3504107,38,quarta-feira ,2021-02-03
Fernandópolis,3515509,39,quarta-feira ,2021-02-03
Jaboticabal,3524303,39,quarta-feira ,2021-02-03
São Roque,3550605,40,quarta-feira ,2021-02-03
Rio Claro,3543907,36,quarta-feira ,2021-02-03
Tatuí,3554003,39,quarta-feira ,2021-02-03
Cruzeiro,3513405,44,quarta-feira ,2021-02-03
Jaú,3525300,40,quarta-feira ,2021-02-03
Barueri,3505708,33,quarta-feira ,2021-02-03
Ibiúna,3519709,45,quarta-feira ,2021-02-03
Jaguariúna,3524709,39,quarta-feira ,2021-02-03
São Carlos,3548906,40,quarta-feira ,2021-02-03
Olímpia,3533908,41,quarta-feira ,2021-02-03
Várzea Paulista,3556503,37,quarta-feira ,2021-02-03
Jacareí,3524402,38,quarta-feira ,2021-02-03
Mogi Guaçu,3530706,39,quarta-feira ,2021-02-03
Vinhedo,3556701,40,quarta-feira ,2021-02-03
Batatais,3505906,58,quarta-feira ,2021-02-03
Penápolis,3537305,48,quarta-feira ,2021-02-03
Marília,3529005,36,quarta-feira ,2021-02-03
Embu Das Artes,3515004,40,quarta-feira ,2021-02-03
Artur Nogueira,3503802,45,quarta-feira ,2021-02-03
Jandira,3525003,34,quarta-feira ,2021-02-03
Itupeva,3524006,36,quarta-feira ,2021-02-03
Boituva,3507001,43,quarta-feira ,2021-02-03
Poá,3539806,33,quarta-feira ,2021-02-03
Itatiba,3523404,35,quarta-feira ,2021-02-03
Cotia,3513009,38,quarta-feira ,2021-02-03
São José Do Rio Preto,3549805,37,quarta-feira ,2021-02-03
Itaquaquecetuba,3523107,35,quarta-feira ,2021-02-03
Cubatão,3513504,42,quarta-feira ,2021-02-03
São Sebastião,3550704,53,quarta-feira ,2021-02-03
Caçapava,3508504,40,quarta-feira ,2021-02-03
Monte Alto,3531308,48,quarta-feira ,2021-02-03
Votorantim,3557006,37,quarta-feira ,2021-02-03
São José Dos Campos,3549904,42,quarta-feira ,2021-02-03
Indaiatuba,3520509,37,quarta-feira ,2021-02-03
Sertãozinho,3551702,42,quarta-feira ,2021-02-03
Carapicuíba,3510609,38,quarta-feira ,2021-02-03
Votuporanga,3557105,37,quarta-feira ,2021-02-03
Araçatuba,3502804,33,quarta-feira ,2021-02-03
Guarulhos,3518800,36,quarta-feira ,2021-02-03
Bertioga,3506359,48,quarta-feira ,2021-02-03
Salto,3545209,34,quarta-feira ,2021-02-03
Avaré,3504503,43,quarta-feira ,2021-02-03
Santo André,3547809,39,quarta-feira ,2021-02-03
Limeira,3526902,34,quarta-feira ,2021-02-03
Sorocaba,3552205,34,quarta-feira ,2021-02-03
Taboão Da Serra,3552809,37,quarta-feira ,2021-02-03
Diadema,3513801,38,quarta-feira ,2021-02-03
Ribeirão Preto,3543402,40,quarta-feira ,2021-02-03
Santa Isabel,3546801,43,quarta-feira ,2021-02-03
Santa Bárbara D'Oeste,3545803,36,quarta-feira ,2021-02-03
São Paulo,3550308,38,quarta-feira ,2021-02-03
Ribeirão Pires,3543303,40,quarta-feira ,2021-02-03
Amparo,3501905,39,quarta-feira ,2021-02-03
Monte Mor,3531803,48,quarta-feira ,2021-02-03
Ubatuba,3555406,48,quarta-feira ,2021-02-03
Tupã,3555000,42,quarta-feira ,2021-02-03
Jundiaí,3525904,32,quarta-feira ,2021-02-03
Franca,3516200,35,quarta-feira ,2021-02-03
Leme,3526704,43,quarta-feira ,2021-02-03
Lorena,3527207,45,quarta-feira ,2021-02-03
São José Do Rio Pardo,3549706,53,quarta-feira ,2021-02-03
Guarujá,3518701,41,quarta-feira ,2021-02-03
Bragança Paulista,3507605,35,quarta-feira ,2021-02-03
Hortolândia,3519071,37,quarta-feira ,2021-02-03
Pirassununga,3539301,43,quarta-feira ,2021-02-03
Birigui,3506508,39,quarta-feira ,2021-02-03
Santana De Parnaíba,3547304,42,quarta-feira ,2021-02-03
Bauru,3506003,37,quarta-feira ,2021-02-03
Araras,3503307,36,quarta-feira ,2021-02-03
Taubaté,3554102,37,quarta-feira ,2021-02-03
Pindamonhangaba,3538006,39,quarta-feira ,2021-02-03
Cosmópolis,3512803,44,quarta-feira ,2021-02-03
Ferraz De Vasconcelos,3515707,37,quarta-feira ,2021-02-03
Itu,3523909,34,quarta-feira ,2021-02-03
Campinas,3509502,35,quarta-feira ,2021-02-03
Mogi Das Cruzes,3530607,38,quarta-feira ,2021-02-03
Araraquara,3503208,36,quarta-feira ,2021-02-03
Mairiporã,3528502,43,quarta-feira ,2021-02-03
Rio Grande Da Serra,3544103,48,quarta-feira ,2021-02-03
Registro,3542602,41,quarta-feira ,2021-02-03
Mirassol,3530300,41,quarta-feira ,2021-02-03
São Vicente,3551009,41,quarta-feira ,2021-02-03
São Bernardo Do Campo,3548708,40,quarta-feira ,2021-02-03
