Data,Departamento Regional de Saúde,mm7d da Ocupação dos leitos de UTI e Enfermaria (%),Nº de novas internações nos últimos 7 dias,Pacientes em tratamento na UTI,Total de leitos de UTI destinados à Covid,Ocupação dos leitos de UTI e Enfermaria (%),Novos casos de internações (UTI e Enfermaria),Pacientes em tratamento na Enfermaria,Total de leitos de Enfermaria destinados à Covid
2020-06-03,DRS 06 Bauru,42.0,218,54,116,46.6,45,147,468
2020-06-04,DRS 09 Marília,21.3,126,19,95,20.0,27,84,377
2020-06-04,DRS 10 Piracicaba,53.3,163,76,132,57.6,29,73,275
2020-06-04,DRS 11 Presidente Prudente,52.3,52,23,46,50.0,7,37,155
2020-06-04,DRS 13 Ribeirão Preto,46.8,283,82,152,54.0,47,124,324
2020-06-04,DRS 08 Franca,55.1,42,18,32,56.2,5,13,88
2020-06-04,DRS 15 São José do Rio Preto,29.9,266,64,250,25.6,26,101,568
2020-06-04,DRS 16 Sorocaba,61.7,263,108,168,64.3,42,158,505
2020-06-04,DRS 17 Taubaté,44.0,329,137,277,49.5,65,193,632
2020-06-04,Estado de São Paulo,67.5,12244,5075,7541,67.3,1847,8404,16031
2020-06-04,DRS 14 São João da Boa Vista,21.2,97,18,82,22.0,19,63,319
2020-06-04,DRS 07 Campinas,61.4,935,395,606,65.2,128,425,1058
2020-06-04,DRS 12 Registro,40.8,19,9,27,33.3,2,8,44
2020-06-04,DRS 05 Barretos,13.3,55,11,56,19.6,10,18,104
2020-06-04,Grande SP Leste,72.7,699,276,404,68.3,99,562,923
2020-06-04,Grande SP Norte,81.4,108,58,74,78.4,18,117,246
2020-06-04,Grande SP Oeste,85.8,522,200,238,84.0,60,390,662
2020-06-04,Grande SP Sudeste,71.9,1240,497,696,71.4,177,854,1520
2020-06-04,Município de São Paulo,77.5,5707,2616,3445,75.9,857,4284,6066
2020-06-04,DRS 06 Bauru,44.5,226,82,131,62.6,39,128,483
2020-06-04,DRS 02 Araçatuba,23.5,79,17,84,20.2,17,47,230
2020-06-04,DRS 03 Araraquara,32.5,139,21,65,32.3,17,61,325
2020-06-04,DRS 04 Baixada Santista,69.8,623,269,377,71.4,108,460,736
2020-06-04,Grande SP Sudoeste,71.8,271,79,104,76.0,48,204,391
2020-06-05,DRS 09 Marília,21.2,129,21,103,20.4,21,85,362
2020-06-05,Estado de São Paulo,67.4,12331,5053,7583,66.6,1900,8336,16252
2020-06-05,DRS 17 Taubaté,44.5,349,128,278,46.0,58,187,646
2020-06-05,DRS 16 Sorocaba,61.9,247,111,166,66.9,35,159,507
2020-06-05,DRS 15 São José do Rio Preto,31.2,276,97,252,38.5,51,90,564
2020-06-05,DRS 14 São João da Boa Vista,22.2,96,23,82,28.0,13,61,314
2020-06-05,DRS 13 Ribeirão Preto,48.6,299,92,154,59.7,52,121,330
2020-06-05,DRS 12 Registro,39.1,18,8,27,29.6,1,8,45
2020-06-05,DRS 11 Presidente Prudente,52.0,58,22,43,51.2,14,37,157
2020-06-05,DRS 10 Piracicaba,55.5,176,77,126,61.1,32,91,289
2020-06-05,DRS 08 Franca,54.7,42,16,32,50.0,5,20,112
2020-06-05,DRS 07 Campinas,61.8,964,389,622,62.5,165,437,1046
2020-06-05,DRS 06 Bauru,45.3,237,57,120,47.5,36,145,442
2020-06-05,Grande SP Leste,72.2,688,293,414,70.8,105,520,900
2020-06-05,Grande SP Norte,80.4,105,59,73,80.8,23,101,245
2020-06-05,Grande SP Oeste,85.4,507,186,228,81.6,76,398,648
2020-06-05,Grande SP Sudeste,71.3,1252,513,736,69.7,193,872,1513
2020-06-05,Município de São Paulo,77.0,5713,2544,3446,73.8,853,4217,6315
2020-06-05,DRS 02 Araçatuba,23.7,90,17,65,26.2,17,57,230
2020-06-05,DRS 03 Araraquara,33.2,135,24,65,36.9,22,57,322
2020-06-05,DRS 04 Baixada Santista,71.0,607,275,380,72.4,72,439,736
2020-06-05,DRS 05 Barretos,16.2,68,16,55,29.1,20,24,130
2020-06-05,Grande SP Sudoeste,72.2,275,85,116,73.3,36,210,399
2020-06-06,DRS 09 Marília,21.6,131,21,109,19.3,19,85,352
2020-06-06,Estado de São Paulo,67.2,12502,5110,7712,66.3,2032,8524,15935
2020-06-06,DRS 17 Taubaté,46.0,373,143,289,49.5,69,184,655
2020-06-06,DRS 16 Sorocaba,61.8,245,111,174,63.8,51,171,497
2020-06-06,DRS 15 São José do Rio Preto,32.5,300,96,250,38.4,61,126,563
2020-06-06,DRS 14 São João da Boa Vista,22.1,95,16,82,19.5,15,70,319
2020-06-06,DRS 13 Ribeirão Preto,51.4,321,92,151,60.9,55,140,336
2020-06-06,DRS 12 Registro,37.4,20,9,27,33.3,5,11,47
2020-06-06,DRS 11 Presidente Prudente,51.0,63,19,42,45.2,9,40,157
2020-06-06,DRS 10 Piracicaba,57.0,194,84,136,61.8,40,112,303
2020-06-06,DRS 08 Franca,53.8,47,15,31,48.4,8,21,108
2020-06-06,DRS 07 Campinas,63.2,980,413,614,67.3,158,467,1065
2020-06-06,DRS 06 Bauru,46.2,249,51,106,48.1,45,151,452
2020-06-06,Grande SP Leste,71.8,720,308,433,71.1,120,535,909
2020-06-06,Grande SP Norte,78.6,108,58,83,69.9,19,113,241
2020-06-06,Grande SP Oeste,83.7,510,193,258,74.8,83,407,620
2020-06-06,Grande SP Sudeste,69.7,1301,493,791,62.3,228,884,1491
2020-06-06,Município de São Paulo,76.6,5667,2567,3413,75.2,865,4207,5990
2020-06-06,DRS 02 Araçatuba,24.0,91,18,65,27.7,11,53,230
2020-06-06,DRS 03 Araraquara,34.3,141,27,74,36.5,25,62,315
2020-06-06,DRS 04 Baixada Santista,70.2,595,276,424,65.1,87,445,757
2020-06-06,DRS 05 Barretos,19.0,75,17,55,30.9,19,27,130
2020-06-06,Grande SP Sudoeste,72.9,276,83,105,79.0,40,213,398
2020-06-07,DRS 09 Marília,21.3,131,21,109,19.3,18,80,353
