Municipio;Classificação de % em relação a população geral;% em relação a população geral;% em relação a população geral;População Município;Total Doses Aplicadas
ILHABELA;50;90,872692535;90,872692535;35591;32342,5
IGARATÁ;51;90,858812480;90,858812480;9583;8707
NEVES PAULISTA;52;90,815869102;90,815869102;8923;8103,5
PEDRA BELA;53;90,736497545;90,736497545;6110;5544
CEDRAL;54;90,530708324;90,530708324;9346;8461
PAULISTÂNIA;55;90,512540894;90,512540894;1834;1660
SÃO BENTO DO SAPUCAÍ;56;90,324061324;90,324061324;10893;9839
SANTA MERCEDES;57;90,214067278;90,214067278;2943;2655
NATIVIDADE DA SERRA;58;90,055706113;90,055706113;6642;5981,5
ITANHAÉM;59;89,915326570;89,915326570;103102;92704,5
SÃO JOÃO DO PAU D'ALHO;60;89,738095238;89,738095238;2100;1884,5
INDIAPORÃ;61;89,655172414;89,655172414;3886;3484
ITAJOBI;62;89,540432765;89,540432765;15297;13697
JARINU;63;89,496031616;89,496031616;30617;27401
ASPÁSIA;64;89,411441144;89,411441144;1818;1625,5
CÂNDIDO RODRIGUES;65;89,281886388;89,281886388;2799;2499
CRUZÁLIA;66;89,198435973;89,198435973;2046;1825
GUARAREMA;67;89,134258030;89,134258030;30136;26861,5
RIBEIRÃO BRANCO;68;88,862500771;88,862500771;16211;14405,5
COLÔMBIA;69;88,722651223;88,722651223;6216;5515
BADY BASSITT;70;88,691515117;88,691515117;17761;15752,5
ESTRELA D'OESTE;71;88,680365839;88,680365839;8419;7466
ECHAPORÃ;72;88,580145119;88,580145119;6064;5371,5
POPULINA;73;88,547687861;88,547687861;4152;3676,5
ÁGUAS DE LINDÓIA;74;88,518183752;88,518183752;18808;16648,5
MACEDÔNIA;75;88,447995666;88,447995666;3692;3265,5
SÃO LUIZ DO PARAITINGA;76;88,409728718;88,409728718;10690;9451
RIVERSUL;77;88,388756201;88,388756201;5443;4811
LUCIANÓPOLIS;78;88,347898460;88,347898460;2403;2123
BRAGANÇA PAULISTA;79;88,272944240;88,272944240;170533;150534,5
BASTOS;80;87,944447096;87,944447096;20953;18427
HOLAMBRA;81;87,941985333;87,941985333;15272;13430,5
ROSANA;82;87,829371660;87,829371660;16281;14299,5
PARDINHO;83;87,761216964;87,761216964;6508;5711,5
ONDA VERDE;84;87,743102668;87,743102668;4422;3880
GUARANI D'OESTE;85;87,737737738;87,737737738;1998;1753
MAGDA;86;87,685364281;87,685364281;3102;2720
PIRATININGA;87;87,671630948;87,671630948;13765;12068
NARANDIBA;88;87,601957586;87,601957586;4904;4296
SANTO ANTÔNIO DO JARDIM;89;87,508417508;87,508417508;5940;5198
MIRASSOLÂNDIA;90;87,446635495;87,446635495;4919;4301,5
TAPIRAÍ;91;87,445274272;87,445274272;7766;6791
TREMEMBÉ;92;87,437649327;87,437649327;47714;41720
PIRACAIA;93;87,375282208;87,375282208;27462;23995
JACI;94;87,361033908;87,361033908;7196;6286,5
MONTE MOR;95;87,359680021;87,359680021;60754;53074,5
REDENÇÃO DA SERRA;96;87,340453243;87,340453243;3839;3353
SANTOS;97;87,326360064;87,326360064;433656;378696
SANTA ALBERTINA;98;87,188641647;87,188641647;6022;5250,5
DUARTINA;99;87,139065390;87,139065390;12433;10834
ITABERÁ;100;87,085240275;87,085240275;17480;15222,5
OSASCO;101;86,996745454;86,996745454;699944;608928,5
SÃO PAULO;102;86,964853887;86,964853887;12325232;10718620
FERNANDÓPOLIS;103;86,950664246;86,950664246;69402;60345,5
MARAPOAMA;104;86,945169713;86,945169713;3064;2664
CAMPINA DO MONTE ALEGRE;105;86,825160971;86,825160971;6057;5259
TIMBURI;106;86,783559578;86,783559578;2652;2301,5
FERNANDO PRESTES;107;86,684501208;86,684501208;5794;5022,5
LUTÉCIA;108;86,570561457;86,570561457;2636;2282
SANTA ERNESTINA;109;86,471009306;86,471009306;5588;4832
GÁLIA;110;86,346806541;86,346806541;6482;5597
VOTUPORANGA;111;86,323396757;86,323396757;95338;82299
JOANÓPOLIS;112;86,231069126;86,231069126;13338;11501,5
SANTO ANTÔNIO DA ALEGRIA;113;86,226171707;86,226171707;6977;6016
ADAMANTINA;114;86,222266526;86,222266526;35111;30273,5
FLOREAL;115;86,120689655;86,120689655;2900;2497,5
AGUDOS;116;86,019090399;86,019090399;37401;32172
RAFARD;117;86,001538292;86,001538292;9101;7827
SÃO FRANCISCO;118;85,871494498;85,871494498;2817;2419
VITÓRIA BRASIL;119;85,861321777;85,861321777;1846;1585
IPIGUÁ;120;85,856464573;85,856464573;5476;4701,5
MORUNGABA;121;85,853711632;85,853711632;13781;11831,5
CORONEL MACEDO;122;85,782092772;85,782092772;4635;3976
SANTO ANTÔNIO DO PINHAL;123;85,769737806;85,769737806;6827;5855,5
GUAPIARA;124;85,762114537;85,762114537;17025;14601
CUNHA;125;85,751898970;85,751898970;21459;18401,5
PALMEIRA D'OESTE;126;85,748347242;85,748347242;9227;7912
MOCOCA;127;85,735720499;85,735720499;68980;59140,5
ATIBAIA;128;85,716020765;85,716020765;144088;123506,5
PONGAÍ;129;85,705882353;85,705882353;3400;2914
OLÍMPIA;130;85,701070198;85,701070198;55130;47247
RIBEIRA;131;85,585585586;85,585585586;3330;2850
AVARÉ;132;85,563179586;85,563179586;91232;78061
PARANAPUÃ;133;85,555555556;85,555555556;4095;3503,5
GABRIEL MONTEIRO;134;85,554755043;85,554755043;2776;2375
RIBEIRÃO DO SUL;135;85,481383565;85,481383565;4539;3880
ALTINÓPOLIS;136;85,447139419;85,447139419;16203;13845
CABRÁLIA PAULISTA;137;85,340560924;85,340560924;4243;3621
RIBEIRÃO GRANDE;138;85,291053523;85,291053523;7679;6549,5
SARUTAIÁ;139;85,289256198;85,289256198;3630;3096
RIBEIRÃO CORRENTE;140;85,269360269;85,269360269;4752;4052
SERRANA;141;85,254359828;85,254359828;45644;38913,5
DUMONT;142;85,248927467;85,248927467;10023;8544,5
PIRAJU;143;85,232180522;85,232180522;29869;25458
ÁGUAS DE SANTA BÁRBARA;144;85,226714683;85,226714683;6109;5206,5
REGISTRO;145;85,196744277;85,196744277;56393;48045
SANTANA DE PARNAÍBA;146;85,185627648;85,185627648;142301;121220
BARÃO DE ANTONINA;147;85,148656375;85,148656375;3498;2978,5
JALES;148;85,104977541;85,104977541;49201;41872,5
POTIRENDABA;149;85,070792418;85,070792418;17516;14901
UBATUBA;150;85,028968461;85,028968461;91824;78077
SÃO JOSÉ DO RIO PRETO;151;85,022570718;85,022570718;464983;395340,5
SÃO JOÃO DA BOA VISTA;152;85,012694642;85,012694642;91771;78017
MOMBUCA;153;84,977194983;84,977194983;3508;2981
BARRETOS;154;84,941750181;84,941750181;122833;104336,5
IACRI;155;84,940428912;84,940428912;6295;5347
ARARAQUARA;156;84,907211996;84,907211996;238339;202367
ITAOCA;157;84,894894895;84,894894895;3330;2827
FERNÃO;158;84,829183555;84,829183555;1727;1465
OCAUÇU;159;84,828711256;84,828711256;4291;3640
SÃO CARLOS;160;84,781754452;84,781754452;254484;215756
SILVEIRAS;161;84,761003313;84,761003313;6339;5373
SALTINHO;162;84,743238413;84,743238413;8393;7112,5
DOURADO;163;84,681234512;84,681234512;8878;7518
