Município,1ª Dose,2ª Dose,3ª Dose,Dose Única,Doses Distribuídas
Santa Fé Do Sul,29217,22398,1174,702,52429
Santa Gertrudes,19188,12653,513,628,33326
Santa Isabel,43935,31013,1112,1152,84607
Santa Lúcia,6093,4874,131,239,12594
Santa Maria Da Serra,4511,3106,103,173,9017
Santa Mercedes,2606,1944,87,53,4661
Santa Rita D'Oeste,2257,1976,141,58,4422
Santa Rita Do Passa Quatro,22192,17669,1190,548,40639
Santa Rosa De Viterbo,20060,15566,796,666,40445
Santa Salete,1406,1229,118,30,2633
Santana Da Ponte Pensa,1311,1220,101,32,2435
Santana De Parnaíba,117822,89700,2788,3748,212672
Santo Anastácio,15373,11912,671,507,28298
Santo André,570624,423494,3820,15772,1120777
Santo Antônio Da Alegria,5864,4833,294,155,10305
Santo Antônio De Posse,18943,12859,456,648,33724
Santo Antônio Do Aracanguá,6342,5241,221,235,12794
Santo Antônio Do Jardim,5010,3953,163,191,9238
Santo Antônio Do Pinhal,5712,3841,191,148,11054
Santo Expedito,2516,2059,152,60,4768
Santos,371520,291809,14416,7965,703494
Santópolis Do Aguapeí,3218,2760,174,162,6794
Sarapuí,8252,5795,96,261,13904
Sarutaiá,3030,2295,159,66,5627
Sebastianópolis Do Sul,2868,2466,228,82,5208
Serra Azul,11966,8335,421,156,21869
Serra Negra,23957,19272,773,637,45784
Serrana,39204,32824,3926,0,24810
Sertãozinho,100752,76599,3104,3543,183989
Sete Barras,9961,6565,221,258,19373
Severínia,12226,9102,215,509,24102
Silveiras,5220,4216,299,162,9233
Socorro,33867,26487,910,983,66812
Sorocaba,537613,314010,7094,16486,1024677
Sud Mennucci,6143,4818,366,196,11017
Sumaré,219791,152488,2721,8016,398308
Suzano,225260,147986,3873,7560,429872
Suzanápolis,2918,2363,83,65,5876
São Bento Do Sapucaí,9629,7429,288,239,18274
São Bernardo Do Campo,646652,489022,27348,21026,1195685
São Caetano Do Sul,131646,109252,9380,3599,262890
São Carlos,209345,166705,7122,6783,386104
São Francisco,2376,2119,259,43,4175
São Joaquim Da Barra,39354,29151,1485,1437,82256
São José Da Bela Vista,6118,4607,194,228,11957
São José Do Barreiro,3369,2714,153,88,6195
São José Do Rio Pardo,44698,33913,2919,1256,83774
São José Do Rio Preto,384154,300465,19728,11551,689832
São José Dos Campos,574723,438592,18319,15954,1055818
São João Da Boa Vista,76263,60739,3709,2116,140884
São João Das Duas Pontes,2087,1769,133,60,3915
São João De Iracema,1535,1214,109,35,2931
São João Do Pau D'Alho,1855,1597,141,30,3555
São Lourenço Da Serra,12068,8443,169,369,22198
São Luiz Do Paraitinga,9211,7425,439,240,17360
São Manuel,29511,22897,862,1036,55570
São Miguel Arcanjo,26386,18644,432,836,47288
São Paulo,10415986,7539861,372212,324922,18543003
São Pedro,28712,16778,67,785,54846
São Pedro Do Turvo,5991,4481,221,160,11279
São Roque,69203,43629,2036,2034,137911
São Sebastião,71225,50297,933,2349,122551
São Sebastião Da Grama,8871,6602,315,295,18374
São Simão,11657,9297,552,355,23589
São Vicente,269328,183225,7427,7581,465429
Tabapuã,9550,7876,618,268,18197
Tabatinga,11913,8838,367,520,23649
Taboão Da Serra,215758,141998,4581,7654,418401
Taciba,4636,3301,101,156,9078
Taguaí,10432,7928,307,343,20129
Taiaçu,4762,3907,356,150,9290
Taiúva,5453,4023,326,158,9460
Tambaú,17251,13123,580,572,33714
Tanabi,20983,16679,1083,625,39506
Tapiratiba,10492,8142,225,283,20775
Tapiraí,6640,4973,169,151,10901
Taquaral,2257,1746,53,59,4301
