codigo_ibge,municipio,latitude,longitude,mesorregiao,microrregiao
3549300,São João do Pau d'Alho,-21.2662,-51.6672,Presidente Prudente,Dracena
3549409,São Joaquim da Barra,-20.5812,-47.8593,Ribeirão Preto,São Joaquim da Barra
3549508,São José da Bela Vista,-20.5935,-47.6424,Ribeirão Preto,Franca
3549607,São José do Barreiro,-22.6414,-44.5774,Vale do Paraíba Paulista,Bananal
3549706,São José do Rio Pardo,-21.5953,-46.8873,Campinas,São João da Boa Vista
3549805,São José do Rio Preto,-20.8113,-49.3758,São José do Rio Preto,São José do Rio Preto
3549904,São José dos Campos,-23.1896,-45.8841,Vale do Paraíba Paulista,São José dos Campos
3549953,São Lourenço da Serra,-23.8491,-46.9432,Metropolitana de São Paulo,Itapecerica da Serra
3550001,São Luiz do Paraitinga,-23.222,-45.3109,Vale do Paraíba Paulista,Paraibuna/Paraitinga
3550100,São Manuel,-22.7321,-48.5723,Bauru,Botucatu
3550209,São Miguel Arcanjo,-23.8782,-47.9935,Macro Metropolitana Paulista,Piedade
3550308,São Paulo,-23.5329,-46.6395,Metropolitana de São Paulo,São Paulo
3550407,São Pedro,-22.5483,-47.9096,Piracicaba,Piracicaba
3550506,São Pedro do Turvo,-22.7453,-49.7428,Assis,Ourinhos
3550605,São Roque,-23.5226,-47.1357,Macro Metropolitana Paulista,Sorocaba
3550704,São Sebastião,-23.7951,-45.4143,Vale do Paraíba Paulista,Caraguatatuba
3550803,São Sebastião da Grama,-21.7041,-46.8208,Campinas,São João da Boa Vista
3550902,São Simão,-21.4732,-47.5518,Ribeirão Preto,Ribeirão Preto
3551009,São Vicente,-23.9574,-46.3883,Metropolitana de São Paulo,Santos
3551108,Sarapuí,-23.6397,-47.8249,Macro Metropolitana Paulista,Sorocaba
3551207,Sarutaiá,-23.2721,-49.4763,Assis,Ourinhos
3551306,Sebastianópolis do Sul,-20.6523,-49.925,São José do Rio Preto,Nhandeara 
3551405,Serra Azul,-21.3074,-47.5602,Ribeirão Preto,Ribeirão Preto
3551603,Serra Negra,-22.6139,-46.7033,Campinas,Amparo
3551504,Serrana,-21.2043,-47.5952,Ribeirão Preto,Ribeirão Preto
3551702,Sertãozinho,-21.1316,-47.9875,Ribeirão Preto,Ribeirão Preto
3551801,Sete Barras,-24.382,-47.9279,Litoral Sul Paulista,Registro
3551900,Severínia,-20.8108,-48.8054,São José do Rio Preto,Catanduva
3552007,Silveiras,-22.6638,-44.8522,Vale do Paraíba Paulista,Bananal
3552106,Socorro,-22.5903,-46.5251,Campinas,Amparo
3552205,Sorocaba,-23.4969,-47.4451,Macro Metropolitana Paulista,Sorocaba
3552304,Sud Mennucci,-20.6872,-50.9238,Araçatuba,Andradina
3552403,Sumaré,-22.8204,-47.2728,Campinas,Campinas
3552551,Suzanápolis,-20.4981,-51.0268,Araçatuba,Andradina
3552502,Suzano,-23.5448,-46.3112,Metropolitana de São Paulo,Mogi das Cruzes
3552601,Tabapuã,-20.9602,-49.0307,São José do Rio Preto,Catanduva
3552700,Tabatinga,-21.7239,-48.6896,Araraquara ,Araraquara
3552809,Taboão da Serra,-23.6019,-46.7526,Metropolitana de São Paulo,Itapecerica da Serra
3552908,Taciba,-22.3866,-51.2882,Presidente Prudente,Presidente Prudente
3553005,Taguaí,-23.4452,-49.4024,Assis,Ourinhos
3553104,Taiaçu,-21.1431,-48.5112,Ribeirão Preto,Jaboticabal 
3553203,Taiúva,-21.1223,-48.4528,Ribeirão Preto,Jaboticabal 
3553302,Tambaú,-21.7029,-47.2703,Campinas,São João da Boa Vista
3553401,Tanabi,-20.6228,-49.6563,São José do Rio Preto,São José do Rio Preto
3553500,Tapiraí,-23.9612,-47.5062,Macro Metropolitana Paulista,Piedade
3553609,Tapiratiba,-21.4713,-46.7448,Campinas,São João da Boa Vista
3553658,Taquaral,-21.0737,-48.4126,Ribeirão Preto,Jaboticabal 
3553708,Taquaritinga,-21.4049,-48.5103,Ribeirão Preto,Jaboticabal 
3553807,Taquarituba,-23.5307,-49.241,Itapetininga ,Itapeva
3553856,Taquarivaí,-23.9211,-48.6948,Itapetininga ,Itapeva
3553906,Tarabai,-22.3016,-51.5621,Presidente Prudente,Presidente Prudente
3553955,Tarumã,-22.7429,-50.5786,Assis,Assis
3554003,Tatuí,-23.3487,-47.8461,Itapetininga ,Tatuí
3554102,Taubaté,-23.0104,-45.5593,Vale do Paraíba Paulista,São José dos Campos
3554201,Tejupá,-23.3425,-49.3722,Assis,Ourinhos
3554300,Teodoro Sampaio,-22.5299,-52.1682,Presidente Prudente,Presidente Prudente
3554409,Terra Roxa,-20.787,-48.3314,Ribeirão Preto,Jaboticabal 
3554508,Tietê,-23.1101,-47.7164,Piracicaba,Piracicaba
3554607,Timburi,-23.2057,-49.6096,Assis,Ourinhos
3554656,Torre de Pedra,-23.2462,-48.1955,Itapetininga ,Tatuí
