Municipio;Classificação de % em relação a população geral;% em relação a população geral;% em relação a população geral;População Município;Total Doses Aplicadas
DUMONT;116;84,326050085;84,326050085;10023;8452
LUTÉCIA;117;84,294385432;84,294385432;2636;2222
MORUNGABA;118;84,195631667;84,195631667;13781;11603
ÁGUAS DE SANTA BÁRBARA;119;84,154526109;84,154526109;6109;5141
MARAPOAMA;120;84,138381201;84,138381201;3064;2578
SÃO JOÃO DA BOA VISTA;121;84,108269497;84,108269497;91771;77187
MOCOCA;122;84,083792404;84,083792404;68980;58001
SÃO BENTO DO SAPUCAÍ;123;84,026438998;84,026438998;10893;9153
GUAPIARA;124;84,023494860;84,023494860;17025;14305
RIBEIRÃO DOS ÍNDIOS;125;83,992805755;83,992805755;2224;1868
CUNHA;126;83,950789878;83,950789878;21459;18015
ARAPEÍ;127;83,943089431;83,943089431;2460;2065
ILHA COMPRIDA;128;83,937687027;83,937687027;11362;9537
SALESÓPOLIS;129;83,926501275;83,926501275;17252;14479
MATÃO;130;83,921268505;83,921268505;83626;70180
BADY BASSITT;131;83,914194021;83,914194021;17761;14904
SARUTAIÁ;132;83,911845730;83,911845730;3630;3046
OLÍMPIA;133;83,899873027;83,899873027;55130;46254
ALTO ALEGRE;134;83,806262231;83,806262231;4088;3426
SÃO CARLOS;135;83,762829883;83,762829883;254484;213163
PONGAÍ;136;83,735294118;83,735294118;3400;2847
ONDA VERDE;137;83,672546359;83,672546359;4422;3700
HOLAMBRA;138;83,649816658;83,649816658;15272;12775
SILVEIRAS;139;83,640952832;83,640952832;6339;5302
DOURADO;140;83,588646091;83,588646091;8878;7421
VITÓRIA BRASIL;141;83,586132178;83,586132178;1846;1543
AMPARO;142;83,573895455;83,573895455;72677;60739
REGINÓPOLIS;143;83,531564501;83,531564501;9837;8217
JERIQUARA;144;83,529038401;83,529038401;3151;2632
GABRIEL MONTEIRO;145;83,501440922;83,501440922;2776;2318
PINHALZINHO;146;83,500129971;83,500129971;15388;12849
BARÃO DE ANTONINA;147;83,419096627;83,419096627;3498;2918
REGISTRO;148;83,348997216;83,348997216;56393;47003
TUPÃ;149;83,336891871;83,336891871;65570;54644
MOGI MIRIM;150;83,313400961;83,313400961;93650;78023
AGUDOS;151;83,305259218;83,305259218;37401;31157
ARARAQUARA;152;83,252216381;83,252216381;238339;198422,5
LUCIANÓPOLIS;153;83,229296712;83,229296712;2403;2000
IGARATÁ;154;83,209850777;83,209850777;9583;7974
TAPIRAÍ;155;83,170229204;83,170229204;7766;6459
ITAPIRA;156;83,137942951;83,137942951;75234;62548
SÃO JOSÉ DO RIO PRETO;157;83,077660904;83,077660904;464983;386297
BARRETOS;158;83,072138595;83,072138595;122833;102040
MIRASSOL;159;83,047277913;83,047277913;60303;50080
FERNANDO PRESTES;160;82,999654815;82,999654815;5794;4809
INDAIATUBA;161;82,996842594;82,996842594;256223;212657
BARRA BONITA;162;82,984554061;82,984554061;36126;29979
SOCORRO;163;82,941574773;82,941574773;41352;34298
PRESIDENTE PRUDENTE;164;82,890424576;82,890424576;230371;190955,5
RIBEIRÃO GRANDE;165;82,875374398;82,875374398;7679;6364
SALTO;166;82,845593639;82,845593639;119736;99196
ARANDU;167;82,812254517;82,812254517;6365;5271
NUPORANGA;168;82,802888473;82,802888473;7478;6192
IACRI;169;82,795869738;82,795869738;6295;5212
ITU;170;82,787865670;82,787865670;175568;145349
SANTO ANTÔNIO DA ALEGRIA;171;82,743299412;82,743299412;6977;5773
AREALVA;172;82,712179264;82,712179264;8613;7124
SERRA NEGRA;173;82,710851555;82,710851555;29452;24360
PONTES GESTAL;174;82,693053939;82,693053939;2577;2131
MANDURI;175;82,663975782;82,663975782;9910;8192
SANTANA DE PARNAÍBA;176;82,607290181;82,607290181;142301;117551
SANTA ERNESTINA;177;82,587687903;82,587687903;5588;4615
RANCHARIA;178;82,577541546;82,577541546;29726;24547
ESTRELA DO NORTE;179;82,563176895;82,563176895;2770;2287
SEBASTIANÓPOLIS DO SUL;180;82,554867755;82,554867755;3554;2934
SÃO CAETANO DO SUL;181;82,533018023;82,533018023;161957;133668
ATIBAIA;182;82,502359669;82,502359669;144088;118876
PEDRINHAS PAULISTA;183;82,457271848;82,457271848;3101;2557
CABRÁLIA PAULISTA;184;82,441668631;82,441668631;4243;3498
SERRANA;185;82,439093857;82,439093857;45644;37628,5
SÃO JOSÉ DO RIO PARDO;186;82,398773674;82,398773674;55124;45421,5
AMÉRICO DE CAMPOS;187;82,377528841;82,377528841;5981;4927
NAZARÉ PAULISTA;188;82,356401754;82,356401754;18698;15399
LAVÍNIA;189;82,319902320;82,319902320;12285;10113
SANTA CRUZ DO RIO PARDO;190;82,314415035;82,314415035;47943;39464
POTIRENDABA;191;82,281913679;82,281913679;17516;14412,5
INDIANA;192;82,270957163;82,270957163;4879;4014
SALES;193;82,261588887;82,261588887;6407;5270,5
CRISTAIS PAULISTA;194;82,197751778;82,197751778;8718;7166
ARAÇATUBA;195;82,181810840;82,181810840;198129;162826
LOURDES;196;82,130434783;82,130434783;2300;1889
OSCAR BRESSANE;197;82,097579716;82,097579716;2603;2137
TAPIRATIBA;198;82,084942085;82,084942085;12950;10630
ANDRADINA;199;82,068808783;82,068808783;57202;46945
SANTA CRUZ DA CONCEIÇÃO;200;82,042253521;82,042253521;4544;3728
